fact_id,unique_id,time_id,location_id,indicator_key,batch_id,data_value
371,177346,19,133,4,1,9.55
372,177326,19,105,4,1,12.15
373,165983,19,40,5,1,29.89
374,172734,20,83,5,1,22.3
375,170429,20,44,4,1,9.4
376,175456,19,133,5,1,20.93
377,178572,20,119,4,1,9.83
378,167788,20,64,5,1,22.11
379,171719,19,81,5,1,22.95
380,177316,19,101,4,1,10.35
381,170420,20,45,4,1,8.94
382,168641,19,62,4,1,12.07
383,179442,20,5,5,1,13.8
384,167789,20,33,5,1,21.6
385,170442,20,37,4,1,8.9
386,173252,19,95,4,1,13.99
387,173253,19,72,4,1,13.72
388,167803,20,59,5,1,11.42
389,176680,20,126,5,1,18.58
390,176714,20,129,5,1,12.67
391,176694,20,140,5,1,22.72
392,175426,19,101,5,1,27.11
393,177322,19,102,4,1,9.88
394,176682,20,119,5,1,23.73
395,175447,19,113,5,1,22.06
396,168650,19,45,4,1,10.89
397,173233,19,93,4,1,10.78
398,178587,20,111,4,1,9.73
399,176705,20,123,5,1,22.3
400,175423,19,120,5,1,26.07
401,177325,19,138,4,1,11.74
402,176699,20,136,5,1,28.59
403,179439,20,2,5,1,19.92
404,170427,20,13,4,1,8.82
405,178576,20,101,4,1,8.75
406,178592,20,118,4,1,10.81
407,166000,19,27,5,1,28.67
408,176689,20,103,5,1,20.23
409,175431,19,104,5,1,22.63
410,174278,20,89,4,1,9.7
411,170444,20,33,4,1,8.43
412,167800,20,50,5,1,12.54
413,176718,20,130,5,1,11.51
414,170428,20,20,4,1,8.65
415,171725,19,66,5,1,20.62
416,176712,20,121,5,1,18.96
417,168639,19,14,4,1,12.09
418,176691,20,104,5,1,16.65
419,178581,20,104,4,1,8.18
420,170439,20,12,4,1,8.82
421,171706,19,70,5,1,22.63
422,178605,20,127,4,1,8.27
423,166003,19,20,5,1,24.93
424,172731,20,71,5,1,25.36
425,170407,20,60,4,1,11.13
426,174261,20,71,4,1,9.7
427,175418,19,125,5,1,22.24
428,179663,20,1,4,1,9.1
429,170434,20,10,4,1,8.23
430,171720,19,90,5,1,20.46
431,176711,20,132,5,1,19.65
432,173236,19,70,4,1,9.83
433,172732,20,76,5,1,24.75
434,170422,20,41,4,1,8.71
435,172737,20,87,5,1,20.3
436,171710,19,97,5,1,27.68
437,168680,19,35,4,1,9.95
438,177338,19,100,4,1,9.4
439,168682,19,7,4,1,9.39
440,166014,19,12,5,1,26.37
441,167794,20,31,5,1,18.69
442,165985,19,19,5,1,29.2
443,173239,19,99,4,1,10.94
444,167751,20,61,5,1,26.48
445,171712,19,76,5,1,29.27
446,173257,19,91,4,1,9.71
447,167762,20,9,5,1,21.92
448,167760,20,30,5,1,23.99
449,168688,19,59,4,1,9.6
450,168656,19,8,4,1,10.41
451,175439,19,136,5,1,31.8
452,177345,19,127,4,1,10.06
453,168670,19,18,4,1,10.32
454,177348,19,130,4,1,9.57
455,167749,20,39,5,1,38.71
456,173230,19,74,4,1,11.11
457,175417,19,122,5,1,23.12
458,175424,19,117,5,1,27.66
459,177311,19,108,4,1,12.08
460,171699,19,80,5,1,27.66
461,171696,19,84,5,1,22.24
462,170446,20,48,4,1,8.76
463,176697,20,111,5,1,24.75
464,168686,19,55,4,1,9.85
465,173254,19,94,4,1,12.13
466,175432,19,102,5,1,24.26
467,175437,19,111,5,1,29.27
468,173255,19,66,4,1,9.51
469,176686,20,101,5,1,22.28
470,179515,19,3,4,1,12.83
471,167752,20,60,5,1,28.73
472,177321,19,104,4,1,9.83
473,176677,20,122,5,1,18.23
474,178589,20,136,4,1,11.1
475,179440,20,3,5,1,28.02
476,178585,20,138,4,1,9.48
477,167801,20,55,5,1,17.64
478,167755,20,19,5,1,24.66
479,167750,20,56,5,1,33.37
480,170413,20,32,4,1,9.76
481,166001,19,8,5,1,27.47
482,176695,20,138,5,1,22.79
483,168648,19,36,4,1,11.71
484,178599,20,128,4,1,8.51
485,167772,20,13,5,1,21.69
486,165977,19,38,5,1,30.54
487,175448,19,100,5,1,19.33
488,178579,20,103,4,1,8.49
489,168655,19,27,4,1,11.15
490,167775,20,57,5,1,20.74
491,174251,20,67,4,1,8.75
492,179516,19,4,4,1,9.9
493,178582,20,102,4,1,8.24
494,170430,20,57,4,1,9.18
495,172733,20,96,5,1,26.5
496,172718,20,86,5,1,18.58
497,168668,19,51,4,1,9.78
498,172738,20,92,5,1,19.65
499,170405,20,56,4,1,12.25
500,166002,19,13,5,1,26.43
501,166007,19,53,5,1,27.05
502,173242,19,76,4,1,11.98
503,170445,20,21,4,1,8.86
504,167770,20,27,5,1,24.17
505,173247,19,87,4,1,10.07
506,173232,19,77,4,1,10.29
507,175445,19,123,5,1,26.98
508,177332,19,118,4,1,12.57
