unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,indicator_category
874446,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Summer 2023,2023-06-01,8.672409931,2023,6,2,Air Quality Indicator
877245,375,Nitrogen dioxide (NO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2023,2023-06-01,11.75210061,2023,6,2,Air Quality Indicator
874596,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,203,Morrisania and Crotona (CD3),Summer 2023,2023-06-01,9.377384466,2023,6,2,Air Quality Indicator
878126,386,Ozone (O3),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2023,2023-06-01,37.31493103,2023,6,2,Air Quality Indicator
876993,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Summer 2023,2023-06-01,12.47245283,2023,6,2,Air Quality Indicator
878216,386,Ozone (O3),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2023,2023-06-01,36.88953233,2023,6,2,Air Quality Indicator
877104,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Summer 2023,2023-06-01,22.22098615,2023,6,2,Air Quality Indicator
877074,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2023,2023-06-01,17.42045889,2023,6,2,Air Quality Indicator
874332,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01,8.865704873,2023,6,2,Air Quality Indicator
878144,386,Ozone (O3),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2023,2023-06-01,43.40081576,2023,6,2,Air Quality Indicator
874523,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Summer 2023,2023-06-01,9.17505874,2023,6,2,Air Quality Indicator
874816,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317,East Flatbush (CD17),Summer 2023,2023-06-01,8.687833391,2023,6,2,Air Quality Indicator
874362,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Summer 2023,2023-06-01,8.378827675,2023,6,2,Air Quality Indicator
877212,375,Nitrogen dioxide (NO2),Mean,ppb,CD,317,East Flatbush (CD17),Summer 2023,2023-06-01,12.6709056,2023,6,2,Air Quality Indicator
878221,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2023,2023-06-01,31.00497205,2023,6,2,Air Quality Indicator
874425,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503,Willowbrook,Summer 2023,2023-06-01,8.471204739,2023,6,2,Air Quality Indicator
877113,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2023,2023-06-01,16.00194618,2023,6,2,Air Quality Indicator
874395,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2023,2023-06-01,9.14926825,2023,6,2,Air Quality Indicator
